previous,checkout,dairy,drinks,entrance,fruit,spices
checkout,1.0,0.0,0.0,0.0,0.0,0.0
dairy,0.10346573646899966,0.7367503094407561,0.05856869584786767,0.0,0.04984809271970294,0.05136716552267357
drinks,0.2157104667900473,0.01089862224964014,0.5984988690108987,0.0,0.0879086983343615,0.08698334361505243
entrance,0.0,0.2875755540631296,0.15352585627938214,0.0,0.3774345198119543,0.18146406984553393
fruit,0.20160528800755428,0.09592382751022978,0.05484734025810513,0.0,0.5969468051621026,0.05067673906200818
spices,0.1506849315068493,0.19321439949028352,0.163109270468302,0.0,0.09095253265371138,0.4020388658808538
